02-23-2026 20:27:12 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 32%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.093C soc2@47.156C soc0@47.093C gpu@49.75C tj@49.75C soc1@46.468C VDD_IN 14720mW/10837mW VDD_CPU_GPU_CV 7336mW/4652mW VDD_SOC 2637mW/2155mW
02-23-2026 20:27:12 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,16%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 34%@2133 GR3D_FREQ 97%@[1007] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47C soc2@47.312C soc0@47.218C gpu@49.843C tj@49.843C soc1@46.531C VDD_IN 14917mW/11128mW VDD_CPU_GPU_CV 7481mW/4854mW VDD_SOC 2637mW/2189mW
02-23-2026 20:27:12 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,8%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 36%@2133 GR3D_FREQ 97%@[1007] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.218C soc2@47.343C soc0@47.218C gpu@49.75C tj@49.75C soc1@46.562C VDD_IN 15035mW/11389mW VDD_CPU_GPU_CV 7559mW/5034mW VDD_SOC 2637mW/2219mW
02-23-2026 20:27:12 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 37%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.156C soc2@47.375C soc0@47.375C gpu@49.781C tj@49.781C soc1@46.593C VDD_IN 15114mW/11622mW VDD_CPU_GPU_CV 7637mW/5197mW VDD_SOC 2676mW/2248mW
02-23-2026 20:27:13 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,8%@1497,0%@1497,8%@1497,100%@1497,0%@1497] EMC_FREQ 39%@2133 GR3D_FREQ 97%@[1009] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.156C soc2@47.5C soc0@47.375C gpu@49.937C tj@49.937C soc1@46.625C VDD_IN 15192mW/11832mW VDD_CPU_GPU_CV 7716mW/5345mW VDD_SOC 2676mW/2273mW
02-23-2026 20:27:13 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 40%@2133 GR3D_FREQ 97%@[1007] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.312C soc2@47.5C soc0@47.562C gpu@50.156C tj@50.156C soc1@46.656C VDD_IN 15271mW/12023mW VDD_CPU_GPU_CV 7755mW/5479mW VDD_SOC 2672mW/2295mW
02-23-2026 20:27:13 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,9%@1497,0%@1497,9%@1497,100%@1497,0%@1497] EMC_FREQ 42%@2133 GR3D_FREQ 97%@[1007] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.281C soc2@47.531C soc0@47.468C gpu@49.906C tj@49.906C soc1@46.812C VDD_IN 15311mW/12196mW VDD_CPU_GPU_CV 7794mW/5601mW VDD_SOC 2672mW/2315mW
02-23-2026 20:27:13 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 43%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.562C soc2@47.562C soc0@47.5C gpu@50.125C tj@50.125C soc1@46.718C VDD_IN 15350mW/12354mW VDD_CPU_GPU_CV 7794mW/5711mW VDD_SOC 2672mW/2333mW
02-23-2026 20:27:13 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 44%@2133 GR3D_FREQ 97%@[1010] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.343C soc2@47.593C soc0@47.562C gpu@50.281C tj@50.281C soc1@46.625C VDD_IN 15389mW/12498mW VDD_CPU_GPU_CV 7833mW/5812mW VDD_SOC 2672mW/2349mW
02-23-2026 20:27:13 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 45%@2133 GR3D_FREQ 97%@[1007] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.375C soc2@47.531C soc0@47.5C gpu@50.093C tj@50.093C soc1@46.812C VDD_IN 15429mW/12631mW VDD_CPU_GPU_CV 7833mW/5904mW VDD_SOC 2672mW/2364mW
02-23-2026 20:27:13 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@1497,0%@1497,8%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 46%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.5C soc2@47.562C soc0@47.656C gpu@50.218C tj@50.218C soc1@46.75C VDD_IN 15468mW/12755mW VDD_CPU_GPU_CV 7833mW/5987mW VDD_SOC 2711mW/2379mW
02-23-2026 20:27:13 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 46%@2133 GR3D_FREQ 97%@[1009] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.5C soc2@47.781C soc0@47.593C gpu@50.281C tj@50.281C soc1@46.906C VDD_IN 15468mW/12868mW VDD_CPU_GPU_CV 7833mW/6064mW VDD_SOC 2711mW/2393mW
02-23-2026 20:27:13 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 47%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@47.812C soc0@47.625C gpu@50.5C tj@50.5C soc1@46.843C VDD_IN 15468mW/12972mW VDD_CPU_GPU_CV 7833mW/6135mW VDD_SOC 2711mW/2405mW
02-23-2026 20:27:14 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,8%@1497] EMC_FREQ 48%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.531C soc2@47.843C soc0@47.781C gpu@50.281C tj@50.281C soc1@46.812C VDD_IN 15468mW/13068mW VDD_CPU_GPU_CV 7833mW/6200mW VDD_SOC 2711mW/2417mW
02-23-2026 20:27:14 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,8%@1497,8%@1497,92%@1497,8%@1497] EMC_FREQ 48%@2133 GR3D_FREQ 97%@[1006] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.562C soc2@47.906C soc0@47.687C gpu@50.406C tj@50.406C soc1@46.906C VDD_IN 15468mW/13157mW VDD_CPU_GPU_CV 7833mW/6261mW VDD_SOC 2711mW/2428mW
02-23-2026 20:27:14 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,100%@1497] EMC_FREQ 49%@2133 GR3D_FREQ 97%@[1007] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@47.906C soc0@47.593C gpu@50.5C tj@50.5C soc1@46.812C VDD_IN 15468mW/13239mW VDD_CPU_GPU_CV 7833mW/6317mW VDD_SOC 2711mW/2438mW
02-23-2026 20:27:14 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,100%@1497] EMC_FREQ 49%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.562C soc2@47.781C soc0@47.75C gpu@50.375C tj@50.375C soc1@47.062C VDD_IN 15468mW/13316mW VDD_CPU_GPU_CV 7833mW/6369mW VDD_SOC 2711mW/2448mW
02-23-2026 20:27:14 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,100%@1497] EMC_FREQ 50%@2133 GR3D_FREQ 97%@[1009] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.75C soc2@47.906C soc0@47.781C gpu@50.468C tj@50.468C soc1@46.968C VDD_IN 15468mW/13388mW VDD_CPU_GPU_CV 7833mW/6418mW VDD_SOC 2711mW/2456mW
02-23-2026 20:27:14 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,100%@1497] EMC_FREQ 50%@2133 GR3D_FREQ 97%@[1005] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@47.875C soc0@47.843C gpu@50.656C tj@50.656C soc1@47C VDD_IN 15507mW/13456mW VDD_CPU_GPU_CV 7833mW/6464mW VDD_SOC 2711mW/2465mW
02-23-2026 20:27:14 RAM 2844/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,100%@1497] EMC_FREQ 51%@2133 GR3D_FREQ 97%@[1007] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.781C soc2@48.031C soc0@47.812C gpu@50.812C tj@50.812C soc1@47.062C VDD_IN 15507mW/13520mW VDD_CPU_GPU_CV 7859mW/6507mW VDD_SOC 2711mW/2472mW
02-23-2026 20:27:14 RAM 2844/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,100%@1497] EMC_FREQ 51%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@47.906C soc0@47.812C gpu@50.468C tj@50.468C soc1@47.031C VDD_IN 15507mW/13580mW VDD_CPU_GPU_CV 7833mW/6548mW VDD_SOC 2711mW/2479mW
02-23-2026 20:27:14 RAM 2844/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,8%@1497,0%@1497,8%@1497,18%@1497,81%@1497] EMC_FREQ 51%@2133 GR3D_FREQ 97%@[1009] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@47.968C soc0@47.937C gpu@50.656C tj@50.656C soc1@47.125C VDD_IN 15507mW/13637mW VDD_CPU_GPU_CV 7872mW/6586mW VDD_SOC 2711mW/2486mW
02-23-2026 20:27:15 RAM 2844/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@1497,8%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 52%@2133 GR3D_FREQ 97%@[1007] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@48.031C soc0@47.875C gpu@50.781C tj@50.781C soc1@47.062C VDD_IN 15507mW/13690mW VDD_CPU_GPU_CV 7872mW/6623mW VDD_SOC 2715mW/2493mW
02-23-2026 20:27:15 RAM 2844/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 52%@2133 GR3D_FREQ 97%@[1006] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@48C soc0@48.031C gpu@50.531C tj@50.531C soc1@47.125C VDD_IN 15507mW/13741mW VDD_CPU_GPU_CV 7872mW/6658mW VDD_SOC 2711mW/2499mW
