ts_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
5171173072169,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44156,44625,44812,44218,44156,44656,5063,756,1433,0.4475,19.2575,8.61
5171273072600,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44218,45000,44812,44156,44156,45000,5302,915,1435,0.43375,19.2575,8.36
5171373079494,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44187,44968,44781,44156,44281,44750,5502,1074,1475,0.4325,19.2613,8.33
5171473083061,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44156,44750,44750,44000,44187,44812,5502,1074,1475,0.43625,19.2575,8.4
5171573081410,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43843,45156,44750,44031,44218,45156,5582,1154,1475,0.3975,19.2638,7.65
5171673083728,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43750,44781,44656,44062,44187,44781,5661,1194,1475,0.38875,19.27,7.49
5171773077342,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44093,44781,44656,44093,44187,44781,5582,1154,1475,0.405,19.2675,7.81
5171873078476,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44250,44781,44687,44000,44250,44781,5661,1194,1475,0.43375,19.2587,8.36
5171973082842,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44125,44812,44687,44125,44187,44812,5741,1234,1475,0.43,19.2587,8.28
5172073080936,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44156,44906,44843,44218,44125,44906,5781,1273,1475,0.42375,19.2638,8.23
5172173074070,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44000,44906,44781,44250,44218,44906,5781,1273,1475,0.4,19.2688,7.68
5172273080836,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44281,44906,44687,44156,44187,44906,5781,1273,1475,0.4275,19.2563,8.91
5172373083442,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44062,45031,44812,44218,44187,45031,5781,1273,1475,0.44,19.2587,8.47
5172473085503,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44187,45093,44687,44187,44281,45093,5821,1313,1475,0.41625,19.265,8.01
5172573084876,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44343,45000,44781,44187,44343,45000,5861,1353,1475,0.40875,19.2638,7.87
5172673079674,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44187,44906,44687,44156,44375,44906,5901,1353,1475,0.36875,19.2725,7.1
5172773085479,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43875,45000,44656,44187,44187,45000,5821,1273,1475,0.33875,19.2825,6.53
5172873074516,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43781,44937,44843,44250,44250,44937,5621,1154,1475,0.34125,19.2825,6.58
5172973093602,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43781,45093,44843,44218,44187,45093,5462,1035,1475,0.37,19.2688,7.13
5173073076430,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44093,45000,44750,44187,44187,45000,5462,995,1472,0.435,19.2613,8.38
5173173099644,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44093,44937,44781,44156,44187,44937,5621,1154,1475,0.41625,19.2662,8.01
5173273099401,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43968,44781,44750,44156,44156,44843,5621,1154,1475,0.43875,19.2575,8.45
5173373095095,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43937,44937,44718,44125,44156,44937,5741,1194,1515,0.36,19.28,6.94
5173473081091,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43968,45000,44812,44062,44156,45000,5582,1074,1475,0.34375,19.2825,6.63
5173573075632,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43781,44843,44812,44125,44218,44843,5422,955,1475,0.37125,19.2812,6.72
5173673071004,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43875,45062,44906,44281,44218,45062,5263,875,1472,0.34,19.2812,6.66
5173773069033,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43843,44968,44812,44343,44156,44968,5143,796,1472,0.33875,19.2825,6.53
5173873078741,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43718,44843,44812,44187,44218,44968,5063,756,1433,0.335,19.2825,6.46
5173973071074,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43718,44750,44750,44218,44156,44843,5023,676,1433,0.33875,19.28,6.53
5174073078062,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,45125,44656,44093,44093,44812,5023,676,1433,0.37625,19.2662,7.24
5174173083163,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43718,44687,44781,44156,44125,44875,5023,676,1433,0.3575,19.285,7.16
5174273094824,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44750,44843,44062,44156,44812,4984,676,1433,0.3425,19.2812,6.66
5174373076660,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43812,44812,44750,44125,44187,44812,5023,676,1433,0.35375,19.28,6.82
5174473073024,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43750,44718,44812,44062,44187,44781,4984,676,1433,0.3425,19.285,6.6
5174573075180,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43843,44843,44906,44312,44156,44843,4944,636,1433,0.34,19.2812,6.41
5174673071224,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44843,44812,44187,44156,44843,4904,636,1433,0.34375,19.2838,6.63
5174773076484,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43656,44812,44875,44187,44156,44875,4864,597,1433,0.36125,19.275,6.96
5174873072464,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,44687,44812,44093,44093,44906,4864,597,1433,0.36375,19.2725,7.01
5174973056987,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43875,44812,44750,44062,44093,44812,4816,597,1433,0.36,19.2763,7.01
5175073081096,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,45000,44750,44093,44031,45000,4816,597,1433,0.395,19.2662,7.62
5175173078996,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43718,44968,44750,44031,44125,44968,4824,557,1433,0.36625,19.2775,7.07
5175273087488,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43812,44937,44718,43968,44187,44937,4824,557,1433,0.36125,19.2787,6.96
5175373081932,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43750,44812,44875,44000,44156,45000,4824,557,1433,0.39375,19.2675,7.63
5175473071383,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,45000,44875,44187,44156,45000,4824,557,1433,0.36125,19.2763,6.96
5175573069410,960000,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44906,44812,44218,44156,44906,4824,597,1433,0.39125,19.27,7.51
5175673076942,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43656,44906,44750,44156,44156,44843,4904,597,1433,0.365,19.2763,7.04
5175773073881,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,45062,44718,43968,44156,45062,4864,597,1433,0.3625,19.2763,6.99
5175873077060,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44968,44687,44062,44031,44968,4864,597,1433,0.365,19.2775,7.07
5175973074479,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44812,44750,44093,44156,44812,4864,597,1433,0.38875,19.2725,7.49
5176073283712,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43843,45031,44750,44031,44156,45031,4824,597,1433,0.3575,19.2737,6.89
5176173083622,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44937,44875,44000,44218,44937,4824,557,1433,0.3625,19.2763,6.99
5176273082897,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43718,44812,44812,44218,44156,44812,4824,557,1433,0.36375,19.2787,7.07
