ts_ns,dt_ns,inst_rate_hz,avg_rate_hz,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
3950394596884,1736162,575.983,534.224,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48437,48343,47781,47718,48500,5342,955,1472,0.425,19.261,8.190
3950396118930,1522046,657.010,537.362,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48500,48375,47812,47687,48500,5342,955,1472,0.476,19.256,9.170
3950397814068,1695138,589.922,538.817,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48500,48375,47812,47781,48500,5342,955,1472,0.445,19.256,8.580
3950399378866,1564798,639.060,541.314,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48375,48437,47843,47593,48437,5342,955,1472,0.463,19.271,8.580
3950401042387,1663521,601.135,542.858,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48375,48187,47843,47718,48375,5342,955,1472,0.374,19.265,7.210
3950403738024,2695637,370.970,535.959,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48437,48250,47843,47750,48437,5334,955,1472,0.366,19.281,7.070
3950406040437,2302413,434.327,532.591,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48343,48281,47781,47718,48343,5334,955,1472,0.393,19.279,7.560
3950408319330,2278893,438.810,529.613,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48343,48250,47781,47656,48343,5334,955,1472,0.367,19.279,7.090
3950410406187,2086857,479.190,528.187,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48500,48343,47750,47781,48500,5334,955,1472,0.365,19.277,7.040
3950413224738,2818551,354.792,521.812,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48500,48406,47750,47656,48500,5334,955,1472,0.375,19.282,7.230
3950415487375,2262637,441.962,519.523,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48781,48187,47875,47656,48781,5334,955,1472,0.362,19.282,6.990
3950417265426,1778051,562.414,520.468,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48781,48187,47875,47656,48781,5334,955,1472,0.393,19.280,7.560
3950419752547,2487121,402.071,516.928,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48437,48343,47781,47656,48437,5334,955,1472,0.371,19.285,7.160
3950421560838,1808291,553.008,517.695,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48437,48343,47812,47687,48437,5334,955,1472,0.396,19.285,7.160
3950422961826,1400988,713.782,520.875,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48718,48343,47812,47687,48437,5334,955,1472,0.362,19.286,7.280
3950427451482,4489656,222.734,506.147,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48437,48187,47812,47687,48437,5334,955,1472,0.395,19.279,6.990
3950429724263,2272781,439.990,504.533,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48437,48187,47875,47687,48687,5334,955,1472,0.395,19.282,7.620
3950431512042,1787779,559.353,505.565,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48687,48187,47781,47718,48687,5334,955,1472,0.367,19.277,7.080
3950433679732,2167690,461.321,504.577,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48687,48312,47781,47718,48437,5334,955,1472,0.370,19.280,7.130
3950435384566,1704834,586.567,505.992,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48437,48281,47718,47656,48437,5334,955,1472,0.383,19.280,7.370
3950436885683,1501117,666.171,508.389,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48437,48343,47781,47625,48437,5334,955,1472,0.391,19.282,7.540
3950439197473,2311790,432.565,506.681,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48687,48375,47875,47750,48687,5334,955,1472,0.371,19.282,7.160
3950441326122,2128649,469.782,505.931,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48687,48406,47843,47593,48437,5334,955,1472,0.361,19.279,6.960
3950443483733,2157611,463.476,505.074,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48437,48406,47843,47656,48437,5334,955,1472,0.403,19.284,6.960
3950444875280,1391547,718.625,507.818,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48718,48250,47750,47656,48718,5334,955,1472,0.359,19.284,6.910
3950448080239,3204959,312.016,502.190,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48718,48218,47718,47656,48718,5334,955,1472,0.386,19.284,6.910
