ts_ns,dt_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC
19684341883485,99972686,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47593,48625,48531,48031,48000,48781
19684441900683,100017198,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48687,48500,48156,47906,48687
19684541902169,100001486,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48718,48500,48156,47906,48812
19684641884967,99982798,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48812,48468,48125,47812,48812
19684741896437,100011470,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47718,48718,48500,48125,48031,48718
19684841890851,99994414,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47718,48750,48468,48062,47968,48750
19684941900466,100009615,652800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48781,48625,48093,48000,48781
19685041902304,100001838,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47875,48750,48500,48031,47843,48750
19685141900942,99998638,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48843,48531,48000,47906,48843
19685241912668,100011726,806400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48781,48468,48187,47937,48781
19685341903530,99990862,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48718,48437,48156,47906,48718
19685441905208,100001678,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,49000,48468,48125,47937,49000
19685541897382,99992174,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48781,48500,48093,48000,48781
19685641884116,99986734,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48781,48468,48062,47906,48593
19685741906754,100022638,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47843,49062,48531,48000,48031,49062
19685841896560,99989806,576000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48968,48656,48031,47906,48968
19685941902078,100005518,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48687,48562,48062,47937,48687
19686041889484,99987406,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47843,48625,48562,48250,47906,48625
19686141911483,100021999,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,49062,48531,48218,47875,49062
19686241895048,99983565,576000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48750,48500,48093,47906,48750
19686341899287,100004239,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48593,48468,48156,47875,48593
19686441900613,100001326,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,48562,48500,48062,48031,48750
19686541902163,100001550,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48750,48468,48062,47937,48750
19686641883424,99981261,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48593,48625,48093,47937,48625
19686741905551,100022127,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48750,48562,48093,47937,48750
19686841901021,99995470,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48718,48531,48250,47968,48718
19686941880939,99979918,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,48687,48531,48250,47906,48687
19687041902361,100021422,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48781,48531,48125,47937,48781
19687141900583,99998222,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48750,48437,48156,47875,48750
19687241887477,99986894,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48687,48437,48062,47906,48843
19687341897507,100010030,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48875,48437,48156,48000,48875
19687441911922,100014415,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47593,48781,48468,48062,47937,48781
19687541898719,99986797,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48687,48531,48062,47968,48937
19687641912782,100014063,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48843,48531,48062,47875,48843
19687741887515,99974733,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,48750,48531,48187,47906,48750
19687841902314,100014799,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47593,49000,48406,48156,47875,49000
19687941899480,99997166,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,48906,48500,48125,47875,48906
19688041884613,99985133,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47968,48875,48468,48156,47781,48625
19688141903668,100019055,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48656,48437,48093,48031,48656
19688241926626,100022958,1344000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47875,48937,48625,48062,48031,48937
19688341903760,99977134,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47718,48843,48531,48031,47968,48656
19688441903934,100000174,576000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47875,48656,48593,48062,47875,48656
19688541901708,99997774,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,49031,48500,48031,47906,49031
19688641898746,99997038,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48656,48531,48062,47937,48656
19688741899528,100000782,499200,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48625,48468,48125,47875,48625
