ts_ns,dt_ns,inst_rate_hz,avg_rate_hz,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
3881795730635,0,,,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46812,48000,47906,47312,47125,47937,,,,0.390,19.275,7.080
3881805809585,10078950,99.217,99.217,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46906,48312,47968,47500,47250,48312,,,,0.381,19.275,7.350
3881815800694,9991109,100.089,99.651,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,47937,47937,47343,47250,47937,,,,0.393,19.282,7.260
3881825789403,9988709,100.113,99.804,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47062,47937,47843,47312,47250,47937,,,,0.383,19.281,7.370
3881835788609,9999206,100.008,99.855,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46843,48250,47781,47437,47187,48250,,,,0.367,19.288,7.090
3881845789542,10000933,99.991,99.882,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46968,48187,48000,47343,47312,48187,,,,0.366,19.281,7.070
3881855805931,10016389,99.836,99.875,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46937,48000,47906,47312,47281,48000,4816,556,1433,0.356,19.289,6.870
3881865794672,9988741,100.113,99.909,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46843,47968,47812,47500,47250,47968,4816,556,1433,0.359,19.281,6.910
3881875813174,10018502,99.815,99.897,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46781,48031,47968,47437,47343,48031,4816,556,1433,0.362,19.288,6.990
3881885800123,9986949,100.131,99.923,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46906,48000,47937,47343,47281,48000,4816,556,1433,0.350,19.282,6.750
