ts_ns,dt_ns,inst_rate_hz,avg_rate_hz,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
3934113184809,0,,,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48656,48156,47625,47531,48656,,,,0.412,19.266,8.000
3934118250829,5066020,197.394,197.394,1036800,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48343,48187,47687,47531,48343,,,,0.440,19.265,8.820
3934123258639,5007810,199.688,198.534,960000,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47187,48562,48125,47687,47531,48562,,,,0.412,19.270,7.950
3934128254802,4996163,200.154,199.071,883200,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48312,48125,47562,47437,48312,,,,0.429,19.269,8.260
3934133248692,4993890,200.245,199.363,806400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48375,48187,47656,47500,48375,,,,0.410,19.273,7.900
3934138249718,5001026,199.959,199.482,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48593,48281,47750,47500,48593,,,,0.426,19.270,7.850
3934143250136,5000418,199.983,199.565,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48343,48093,47656,47562,48343,,,,0.395,19.273,7.620
3934148246555,4996419,200.143,199.648,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48500,48281,47656,47531,48312,,,,0.405,19.275,7.810
3934153252061,5005506,199.780,199.664,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48468,48093,47781,47468,48468,,,,0.394,19.281,7.420
3934158250687,4998626,200.055,199.708,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48281,48125,47562,47562,48281,,,,0.400,19.280,7.720
3934163256546,5005859,199.766,199.713,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48437,48187,47687,47593,48437,,,,0.425,19.269,8.190
3934168251428,4994882,200.205,199.758,1113600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47093,48406,48125,47781,47500,48406,5095,796,1472,0.395,19.275,7.620
3934173246022,4994594,200.216,199.796,1113600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47218,48281,48156,47562,47562,48281,5095,796,1472,0.393,19.275,7.560
3934178245673,4999651,200.014,199.813,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47125,48312,48218,47656,47500,48312,5095,796,1472,0.398,19.277,7.670
3934183253227,5007554,199.698,199.805,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48250,48156,47718,47593,48281,5095,796,1472,0.406,19.270,7.830
3934188251021,4997794,200.088,199.824,960000,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47187,48687,48062,47687,47531,48687,5095,796,1472,0.398,19.276,7.670
3934193244944,4993923,200.243,199.850,960000,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47093,48375,48218,47781,47468,48687,5095,796,1472,0.389,19.282,7.560
3934198253298,5008354,199.666,199.839,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48687,48156,47781,47500,48312,5095,796,1472,0.407,19.277,7.860
3934203243732,4990434,200.383,199.869,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48312,48218,47593,47562,48312,5095,796,1472,0.405,19.269,7.810
3934208250743,5007011,199.720,199.861,806400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47125,48250,48281,47625,47531,48281,5095,796,1472,0.386,19.279,7.320
3934213246457,4995714,200.172,199.877,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47187,48468,48093,47781,47468,48468,5095,796,1472,0.384,19.276,7.810
3934218247803,5001346,199.946,199.880,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48375,48250,47656,47562,48375,5095,796,1472,0.394,19.273,7.590
3934223250750,5002947,199.882,199.880,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48468,48250,47718,47562,48312,5095,796,1472,0.384,19.279,7.400
3934228245344,4994594,200.216,199.895,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47093,48531,48187,47625,47531,48531,5095,796,1472,0.384,19.279,7.400
3934233243618,4998274,200.069,199.902,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48312,48093,47593,47562,48312,5095,796,1472,0.405,19.265,7.810
3934238246436,5002818,199.887,199.901,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48406,48312,47750,47531,48312,5095,796,1472,0.380,19.274,7.320
3934243248711,5002275,199.909,199.902,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48437,48218,47812,47500,48437,5135,796,1472,0.370,19.277,7.130
3934248246345,4997634,200.095,199.909,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48312,48125,47687,47531,48312,5135,796,1472,0.381,19.275,7.560
3934253247723,5001378,199.945,199.910,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47125,48343,48250,47781,47468,48343,5135,796,1472,0.386,19.276,7.450
3934258247022,4999299,200.028,199.914,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48312,48156,47625,47562,48312,5135,796,1472,0.383,19.279,7.370
3934263245264,4998242,200.070,199.919,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48250,48187,47656,47562,48250,5135,796,1472,0.394,19.276,7.590
3934268247986,5002722,199.891,199.919,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47093,48343,48093,47750,47500,48343,5135,796,1472,0.379,19.280,7.320
3934273257301,5009315,199.628,199.909,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48687,48093,47593,47500,48687,5135,796,1472,0.385,19.277,7.420
3934278260823,5003522,199.859,199.908,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48343,48218,47656,47531,48531,5135,796,1472,0.378,19.280,7.280
3934283257338,4996515,200.139,199.915,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47125,48437,48156,47531,47531,48437,5135,796,1472,0.384,19.279,7.400
3934288251836,4994498,200.220,199.923,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48500,48093,47593,47500,48500,5135,796,1472,0.404,19.279,7.780
3934293260926,5009090,199.637,199.915,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48343,48218,47625,47562,48343,5135,796,1472,0.396,19.281,7.640
3934298251040,4990114,200.396,199.928,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47125,48531,48093,47718,47531,48218,5135,796,1472,0.381,19.273,7.350
3934303266339,5015299,199.390,199.914,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48437,48125,47687,47500,48437,5135,796,1472,0.391,19.274,8.910
3934308260901,4994562,200.218,199.922,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48250,48187,47656,47562,48250,5135,796,1472,0.390,19.276,7.510
3934313251431,4990530,200.380,199.933,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47218,48500,48093,47781,47531,48281,5135,796,1472,0.396,19.274,7.640
3934318259818,5008387,199.665,199.927,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48406,48156,47625,47562,48406,5135,796,1472,0.390,19.277,7.710
3934323244716,4984898,200.606,199.943,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47062,48281,48187,47656,47500,48281,5135,796,1472,0.424,19.277,8.170
3934328266255,5021539,199.142,199.924,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48406,48062,47781,47531,48406,5135,796,1472,0.415,19.282,8.000
3934333249361,4983106,200.678,199.941,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48281,48156,47687,47531,48281,5135,796,1472,0.393,19.281,7.560
3934338243891,4994530,200.219,199.947,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47093,48250,48250,47750,47562,48250,5135,796,1472,0.370,19.274,7.130
3934343261781,5017890,199.287,199.933,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48375,48156,47750,47531,48375,5135,796,1472,0.400,19.276,7.860
3934348260344,4998563,200.057,199.936,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48656,48156,47593,47562,48656,5135,796,1472,0.378,19.277,7.280
3934353259930,4999586,200.017,199.937,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47093,48406,48218,47656,47468,48593,5135,796,1472,0.396,19.281,7.640
3934358260764,5000834,199.967,199.938,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47125,48312,48125,47718,47562,48312,5135,796,1472,0.376,19.275,7.260
