ts_ns,cpu_khz,cpu_min_khz,cpu_max_khz,gpu_hz,gpu_min_hz,gpu_max_hz,temp_cpu_mC,temp_gpu_mC,gpu_governor
4285971262478,1344000,1344000,1344000,918000000,918000000,918000000,47531,48781,nvhost_podgov
4286072579631,1344000,1344000,1344000,918000000,918000000,918000000,47437,48718,nvhost_podgov
4286173385056,1344000,1344000,1344000,918000000,918000000,918000000,47406,48812,nvhost_podgov
4286274432216,1344000,1344000,1344000,918000000,918000000,918000000,47281,49000,nvhost_podgov
4286375448144,1344000,1344000,1344000,918000000,918000000,918000000,47437,48937,nvhost_podgov
4286477134686,1344000,1344000,1344000,918000000,918000000,918000000,47500,48750,nvhost_podgov
4286589067391,1344000,1344000,1344000,918000000,918000000,918000000,47531,48781,nvhost_podgov
4286689858447,1344000,1344000,1344000,918000000,918000000,918000000,47437,48875,nvhost_podgov
4286791178542,1344000,1344000,1344000,918000000,918000000,918000000,47250,48687,nvhost_podgov
4286893508270,1344000,1344000,1344000,918000000,918000000,918000000,47375,48718,nvhost_podgov
4286994464162,1344000,1344000,1344000,918000000,918000000,918000000,47375,48718,nvhost_podgov
4287096062634,1344000,1344000,1344000,918000000,918000000,918000000,47406,48875,nvhost_podgov
4287197520526,1344000,1344000,1344000,918000000,918000000,918000000,47218,49031,nvhost_podgov
4287299197529,1344000,1344000,1344000,918000000,918000000,918000000,47343,48687,nvhost_podgov
4287400806594,1344000,1344000,1344000,918000000,918000000,918000000,47343,48625,nvhost_podgov
4287502294215,1344000,1344000,1344000,918000000,918000000,918000000,47500,48781,nvhost_podgov
4287603224857,1344000,1344000,1344000,918000000,918000000,918000000,47375,49000,nvhost_podgov
4287704771551,1344000,1344000,1344000,918000000,918000000,918000000,47312,48875,nvhost_podgov
4287805658797,1344000,1344000,1344000,918000000,918000000,918000000,47625,48687,nvhost_podgov
4287906627423,1344000,1344000,1344000,918000000,918000000,918000000,47406,48812,nvhost_podgov
4288007813111,1344000,1344000,1344000,918000000,918000000,918000000,47250,48687,nvhost_podgov
4288109311322,1344000,1344000,1344000,918000000,918000000,918000000,47375,48718,nvhost_podgov
4288210640279,1344000,1344000,1344000,918000000,918000000,918000000,47312,49000,nvhost_podgov
4288312048951,1344000,1344000,1344000,918000000,918000000,918000000,47375,48656,nvhost_podgov
4288413191054,1344000,1344000,1344000,918000000,918000000,918000000,47343,48750,nvhost_podgov
4288515044413,1344000,1344000,1344000,918000000,918000000,918000000,47531,48750,nvhost_podgov
4288615968204,1344000,1344000,1344000,918000000,918000000,918000000,47312,48906,nvhost_podgov
4288716958333,1344000,1344000,1344000,918000000,918000000,918000000,47312,48812,nvhost_podgov
4288818141715,1344000,1344000,1344000,918000000,918000000,918000000,47281,48687,nvhost_podgov
4288919706006,1344000,1344000,1344000,918000000,918000000,918000000,47218,48718,nvhost_podgov
4289020939726,1344000,1344000,1344000,918000000,918000000,918000000,47218,48781,nvhost_podgov
4289122309354,1344000,1344000,1344000,918000000,918000000,918000000,47218,48781,nvhost_podgov
4289224176951,1344000,1344000,1344000,918000000,918000000,918000000,47156,49031,nvhost_podgov
4289325996610,1344000,1344000,1344000,918000000,918000000,918000000,47187,48750,nvhost_podgov
4289427847790,1344000,1344000,1344000,918000000,918000000,918000000,47156,48781,nvhost_podgov
4289529372527,1344000,1344000,1344000,918000000,918000000,918000000,47312,48750,nvhost_podgov
4289630274300,1344000,1344000,1344000,918000000,918000000,918000000,47218,48937,nvhost_podgov
4289731578741,1344000,1344000,1344000,918000000,918000000,918000000,47250,48687,nvhost_podgov
4289833303546,1344000,1344000,1344000,918000000,918000000,918000000,47312,48625,nvhost_podgov
4289933976157,1344000,1344000,1344000,918000000,918000000,918000000,47375,48687,nvhost_podgov
4290035629953,1344000,1344000,1344000,918000000,918000000,918000000,47281,48875,nvhost_podgov
4290136520491,1344000,1344000,1344000,918000000,918000000,918000000,47250,48781,nvhost_podgov
4290237850659,1344000,1344000,1344000,918000000,918000000,918000000,47406,49000,nvhost_podgov
4290339028695,1344000,1344000,1344000,918000000,918000000,918000000,47437,48718,nvhost_podgov
4290440187818,1344000,1344000,1344000,918000000,918000000,918000000,47156,48781,nvhost_podgov
4290541150455,1344000,1344000,1344000,918000000,918000000,918000000,47406,48750,nvhost_podgov
4290642564914,1344000,1344000,1344000,918000000,918000000,918000000,47562,48937,nvhost_podgov
4290743546237,1344000,1344000,1344000,918000000,918000000,918000000,47406,48812,nvhost_podgov
4290844726415,1344000,1344000,1344000,918000000,918000000,918000000,47312,49031,nvhost_podgov
4290946008516,1344000,1344000,1344000,918000000,918000000,918000000,47406,48781,nvhost_podgov
4291046989326,1344000,1344000,1344000,918000000,918000000,918000000,47468,48843,nvhost_podgov
4291148546124,1344000,1344000,1344000,918000000,918000000,918000000,47437,48718,nvhost_podgov
4291249725406,1344000,1344000,1344000,918000000,918000000,918000000,47312,48968,nvhost_podgov
4291350925904,1344000,1344000,1344000,918000000,918000000,918000000,47343,48750,nvhost_podgov
4291451893306,1344000,1344000,1344000,918000000,918000000,918000000,47375,48750,nvhost_podgov
4291552937991,1344000,1344000,1344000,918000000,918000000,918000000,47375,48812,nvhost_podgov
4291653917970,1344000,1344000,1344000,918000000,918000000,918000000,47375,48687,nvhost_podgov
4291754923739,1344000,1344000,1344000,918000000,918000000,918000000,47218,48781,nvhost_podgov
4291856017096,1344000,1344000,1344000,918000000,918000000,918000000,47218,49031,nvhost_podgov
4291956991504,1344000,1344000,1344000,918000000,918000000,918000000,47312,48968,nvhost_podgov
4292058208288,1344000,1344000,1344000,918000000,918000000,918000000,47187,48625,nvhost_podgov
4292159209290,1344000,1344000,1344000,918000000,918000000,918000000,47250,48718,nvhost_podgov
4292260741444,1344000,1344000,1344000,918000000,918000000,918000000,47343,48718,nvhost_podgov
4292361753006,1344000,1344000,1344000,918000000,918000000,918000000,47125,48843,nvhost_podgov
4292463647285,1344000,1344000,1344000,918000000,918000000,918000000,47156,48656,nvhost_podgov
4292564645278,1344000,1344000,1344000,918000000,918000000,918000000,47312,49000,nvhost_podgov
4292665558980,1344000,1344000,1344000,918000000,918000000,918000000,47468,48687,nvhost_podgov
4292766275490,1344000,1344000,1344000,918000000,918000000,918000000,47218,48812,nvhost_podgov
4292867448910,1344000,1344000,1344000,918000000,918000000,918000000,47312,48781,nvhost_podgov
4292968684541,1344000,1344000,1344000,918000000,918000000,918000000,47468,48875,nvhost_podgov
4293069789127,1344000,1344000,1344000,918000000,918000000,918000000,47437,48656,nvhost_podgov
4293171504038,1344000,1344000,1344000,918000000,918000000,918000000,47187,48781,nvhost_podgov
4293272600560,1344000,1344000,1344000,918000000,918000000,918000000,47437,48781,nvhost_podgov
4293373473619,1344000,1344000,1344000,918000000,918000000,918000000,47406,48843,nvhost_podgov
4293475184241,1344000,1344000,1344000,918000000,918000000,918000000,47468,48687,nvhost_podgov
4293576543908,1344000,1344000,1344000,918000000,918000000,918000000,47281,48968,nvhost_podgov
4293677566571,1344000,1344000,1344000,918000000,918000000,918000000,47437,48656,nvhost_podgov
4293778674067,1344000,1344000,1344000,918000000,918000000,918000000,47406,48781,nvhost_podgov
4293879659447,1344000,1344000,1344000,918000000,918000000,918000000,47343,48718,nvhost_podgov
4293980975654,1344000,1344000,1344000,918000000,918000000,918000000,47250,48875,nvhost_podgov
4294082146993,1344000,1344000,1344000,918000000,918000000,918000000,47343,48593,nvhost_podgov
4294183743369,1344000,1344000,1344000,918000000,918000000,918000000,47343,49031,nvhost_podgov
4294285414148,1344000,1344000,1344000,918000000,918000000,918000000,47281,48781,nvhost_podgov
4294386568398,1344000,1344000,1344000,918000000,918000000,918000000,47312,48843,nvhost_podgov
4294487494800,1344000,1344000,1344000,918000000,918000000,918000000,47312,48781,nvhost_podgov
4294588532662,1344000,1344000,1344000,918000000,918000000,918000000,47312,48937,nvhost_podgov
4294690048683,1344000,1344000,1344000,918000000,918000000,918000000,47250,48687,nvhost_podgov
4294791411737,1344000,1344000,1344000,918000000,918000000,918000000,47312,48781,nvhost_podgov
4294892348121,1344000,1344000,1344000,918000000,918000000,918000000,47250,48781,nvhost_podgov
4294993239864,1344000,1344000,1344000,918000000,918000000,918000000,47343,48875,nvhost_podgov
4295094221434,1344000,1344000,1344000,918000000,918000000,918000000,47312,48812,nvhost_podgov
4295195679979,1344000,1344000,1344000,918000000,918000000,918000000,47156,49031,nvhost_podgov
4295296607819,1344000,1344000,1344000,918000000,918000000,918000000,47343,48656,nvhost_podgov
4295397281923,1344000,1344000,1344000,918000000,918000000,918000000,47500,48625,nvhost_podgov
4295498144641,1344000,1344000,1344000,918000000,918000000,918000000,47406,48781,nvhost_podgov
4295599088321,1344000,1344000,1344000,918000000,918000000,918000000,47281,48718,nvhost_podgov
4295700259913,1344000,1344000,1344000,918000000,918000000,918000000,47437,48843,nvhost_podgov
4295801255657,1344000,1344000,1344000,918000000,918000000,918000000,47500,48656,nvhost_podgov
4295901929406,1344000,1344000,1344000,918000000,918000000,918000000,47406,49000,nvhost_podgov
4296002815706,1344000,1344000,1344000,918000000,918000000,918000000,47343,48750,nvhost_podgov
4296103694806,1344000,1344000,1344000,918000000,918000000,918000000,47375,48812,nvhost_podgov
4296205092708,1344000,1344000,1344000,918000000,918000000,918000000,47375,48750,nvhost_podgov
4296306029122,1344000,1344000,1344000,918000000,918000000,918000000,47343,48937,nvhost_podgov
4296406937471,1344000,1344000,1344000,918000000,918000000,918000000,47343,48750,nvhost_podgov
4296508021250,1344000,1344000,1344000,918000000,918000000,918000000,47250,48656,nvhost_podgov
4296608930751,1344000,1344000,1344000,918000000,918000000,918000000,47375,48750,nvhost_podgov
